subject,bone,run,n,err_win,yaw,motion
1,chest,279,69,5.7805672157576,-3.036849164296452,hand_clapping
1,chest,927,101,-1.515591566436747,-0.1443237137867189,checking_watch
1,chest,1359,40,-3.179469973559775,-15.599241036430664,taking_photo
1,footL,2247,42,0.22137137482587765,-5.814498798295826,kicking
1,footL,2329,53,-1.1746606237293529,19.403438188540367,pointing
1,footL,2331,86,-1.4958804893232724,-3.076966718382595,hand_clapping
1,footL,2448,78,0.64365744367798,-18.502737944654854,stretching
1,footL,2466,71,-1.1604255053198904,1.1141754186049075,crossarms
1,footL,2929,30,0.4282280216326702,0.9824864676308404,hand_waving
1,footL,2935,91,-0.9200570207389115,0.4804775565389499,checking_watch
1,footL,3299,101,-1.2070750591162354,-15.669935479192345,taking_photo
1,footL,3938,43,-0.04612735716763798,-3.396326936758903,phone_talking
1,footR,4119,74,0.20176722075458323,13.106980881126429,dancing_rm
1,footR,4120,86,0.5361400462838765,-3.076966718382595,hand_clapping
1,footR,4224,100,-1.8944543193335903,-16.108246677581217,stretching
1,footR,4225,82,-2.024885672000743,1.0934926652224162,crossarms
1,footR,4668,123,0.3287666730960426,-0.7764442971238987,checking_watch
1,footR,5088,77,2.004137393361907,-15.782660615955217,taking_photo
1,footR,5779,31,1.2997024131182005,16.31490906191804,phone_talking
1,hip,6049,86,0.2504112263609492,-3.076966718382595,hand_clapping
1,hip,6186,42,6.777222147907945,2.1184128973551246,crossarms
1,hip,6693,118,-2.375665004847566,-0.9634132189572029,checking_watch
1,hip,7117,39,3.9131288546312644,-15.289010676686008,taking_photo
1,shinL,8638,44,7.264648898794874,21.995614804814924,cross_legged_sitting
1,shinR,9879,41,-0.4251956209514381,22.04250079075855,cross_legged_sitting
1,thighL,11029,65,-32.34654588859625,21.834919261633914,cross_legged_sitting
1,thighR,12312,36,24.07700622030883,22.096117751348043,cross_legged_sitting
2,chest,13036,52,-0.796612024045111,-15.535279917647358,scratching_head
2,chest,13545,36,-1.6548837263413856,-7.487442393496536,stretching
2,chest,13563,47,0.917593177108024,-8.789658590243242,pointing
2,footL,14371,39,-0.8386595599786767,7.666284546719568,taking_photo
2,footL,14523,61,0.8283198692378737,-15.733744797827619,scratching_head
