subject,bone,run,n,err_win,yaw,motion
1,chest,279,69,7.4061884305247565,-3.036849164296452,hand_clapping
1,chest,927,101,10.456233240215282,-0.1443237137867189,checking_watch
1,chest,1359,40,-3.7626087154681214,-15.599241036430664,taking_photo
1,hip,2429,86,1.513531445005989,-3.076966718382595,hand_clapping
1,hip,2566,42,13.187722844413226,2.1184128973551246,crossarms
1,hip,3073,118,4.248585974350466,-0.9634132189572029,checking_watch
1,hip,3497,39,6.034993060011193,-15.289010676686008,taking_photo
1,shinL,5034,44,3.435253534047041,21.995614804814924,cross_legged_sitting
1,shinR,6302,41,3.1095863489498208,22.04250079075855,cross_legged_sitting
1,thighL,7472,65,-35.44289477291773,21.834919261633914,cross_legged_sitting
1,thighR,8780,36,27.925507860238834,22.096117751348043,cross_legged_sitting
2,chest,9505,52,-1.8994326892709086,-15.535279917647358,scratching_head
2,chest,10014,36,-0.39307950950604453,-7.487442393496536,stretching
2,chest,10032,47,0.9271907194356114,-8.789658590243242,pointing
2,hip,11022,59,4.909184493371593,-15.673394841516071,scratching_head
2,hip,11110,37,0.9783230742406899,-10.654670642536217,hand_clapping
2,hip,11111,65,2.842557828969126,-11.134865946381678,crossarms
2,hip,11442,33,0.8204361017213179,-8.643204277385074,hand_waving
2,hip,11445,58,-1.3233748719460932,-12.129158753808019,phone_talking
2,hip,11466,32,1.8649924818908248,-7.3398399217843036,stretching
2,hip,11478,48,2.234953809097388,-8.834915146676398,pointing
2,hip,11782,68,17.576180320394652,-8.516065684269897,checking_watch
2,hip,12044,45,-10.737688710796874,-2.091277033712125,sitting_down
2,shinL,13004,47,-5.461407706906297,-2.082687333481216,sitting_down
2,shinR,13848,41,10.534183739924842,-8.419373042856924,checking_watch
2,shinR,14101,53,1.4941879330395715,-2.0533344966368126,sitting_down
2,thighL,15032,48,-36.57464448521896,-2.083909346236132,sitting_down
2,thighR,15884,39,5.699871345419817,-8.545517313585618,checking_watch
2,thighR,16137,47,-5.330613720565499,-2.094687064345614,sitting_down
3,chest,16195,44,-3.4228491085011115,-3.8598056114366144,checking_watch
3,chest,17081,36,0.4022838417853342,-1.9780419503036495,crossarms
3,chest,17312,56,-1.4608046347779247,-1.425019030540021,hand_clapping
3,chest,17372,75,-4.054098513566869,-1.1046968437636668,vertical_jumping
3,hip,17914,64,1.4631400621028021,-2.7894348398563915,checking_watch
3,hip,18966,32,15.109593600848658,17.963540961211372,taking_photo
3,hip,19040,51,2.9958333940721333,-1.4283278365387202,hand_clapping
3,hip,19104,49,-1.9477723607179889,-0.3637772209322697,vertical_jumping
3,hip,19255,33,-12.052084770307266,1.4579423134398761,cross_legged_sitting
4,chest,24452,43,-8.797339671556928,-8.482043989814702,checking_watch
4,chest,24460,33,-12.308040519768957,-11.909784113044878,pointing
4,chest,24761,52,-0.48621667757459114,-6.475384787720106,taking_photo
4,chest,24918,52,-5.71874975910777,-8.969374162935086,crossarms
4,chest,24930,48,-2.7481641246683863,-10.123095320692652,scratching_head
4,chest,25777,50,-1.559411991177531,1.4655164013500692,sitting_down
4,hip,26100,47,-1.2491484838320959,-8.38284433220948,checking_watch
4,hip,26107,36,-3.8572617117175962,-11.594110823972114,pointing
4,hip,26400,46,1.4743552407539653,-6.652768492747052,taking_photo
4,hip,26562,68,0.4929750952301969,-8.902592101309635,crossarms
4,hip,26569,30,-0.29339541133212116,-9.950116173787366,scratching_head
4,hip,27012,30,7.276063463768634,8.636587015122982,stretching
4,hip,27381,34,-1.0648536711109235,-6.350654177665483,hand_waving
4,hip,27460,47,-9.606905158470486,1.5067781882264968,sitting_down
4,shinR,29451,60,-9.608168218672441,1.4884674412008028,sitting_down
4,thighR,31451,62,-2.101403812632968,1.5093636170736133,sitting_down
5,chest,31913,64,1.4947764028082762,1.291328471948782,taking_photo
5,chest,32293,51,-1.2331767427003448,0.5178458678293243,scratching_head
5,chest,32326,64,0.9064283935711063,1.6611934663904515,crossarms
5,chest,32654,50,-2.4334555172527588,-6.49027102691133,cross_legged_sitting
5,chest,32802,75,-5.123256223222987,-3.862397019163923,phone_talking
5,chest,32905,48,4.108919104015837,-2.1611580489023696,hand_clapping
5,hip,33434,69,1.1671286380148145,1.190006593632136,taking_photo
5,hip,33812,51,-1.8016337957940067,0.5178458678293243,scratching_head
5,hip,33836,67,-2.335834583073049,1.6858365510313174,crossarms
5,hip,34181,53,-9.677559372096901,-6.510867804255865,cross_legged_sitting
5,hip,34243,52,2.3542674339278267,1.7119622762698685,pointing
5,hip,34494,81,-4.683883262197367,-3.921309048111385,phone_talking
5,hip,34579,63,1.8457408222485991,-1.4967535339139333,hand_clapping
5,shinR,37064,30,-1.6679693388082362,-7.359592136144389,dancing_rm
