bone,imu_only,drifted,corrected,corrected_p95,n_corrections
hip,2.5147421655768243,1.9129853539366528,7.33381482502609,10.134319238231399,1
chest,2.0898622850907427,2.930086147484079,2.8711120831281556,5.578499156624164,1
thighL,5.717156982035798,5.754573742384624,5.754573742384624,11.32611133898594,0
thighR,9.031923357671053,8.838251861712996,8.838251861712996,16.884015341823606,0
shinL,6.229107964774792,6.304947842193864,6.304947842193864,11.496430098229323,0
shinR,7.873205173877094,8.862695870366592,8.862695870366592,17.041210141282967,0
footL,2.3365716606344975,3.662333086255599,3.3547225988272418,5.94450128733855,1
footR,2.4995765273451527,5.530731740667235,6.968366009970476,13.32033525126021,1
