bone,imu_only,drifted,corrected,corrected_p95,n_corrections
hip,2.6405262679662203,3.0310022797524954,3.0310022797524954,5.365132409383625,0
chest,1.822642401633144,2.436870144370116,2.436870144370116,4.6791851179292445,0
thighL,5.783867733472441,5.891279406388815,5.891279406388815,11.14321503112828,0
thighR,11.200320701308298,11.478217165081608,11.478217165081608,21.087618671748025,0
shinL,10.16733055234099,11.246622942280101,11.246622942280101,32.300843914318676,0
shinR,9.71441803371491,10.101797206091492,10.101797206091492,20.693176297174542,0
footL,8.533216378825369,7.970308164793244,7.970308164793244,13.679289548606315,0
footR,4.462670088393887,9.111531470600012,9.111531470600012,16.187992623352834,0
