bone,imu_only,drifted,corrected,corrected_p95,n_corrections
hip,2.9524034960145937,3.593753121331618,6.1122678720479655,10.604224512040666,1
chest,2.0634334605084197,1.9368417290171285,3.061595074450371,5.769386592394886,1
thighL,9.015894871666593,9.295110168649115,9.295110168649115,17.692928754767834,0
thighR,9.481667568629094,10.524518969486074,10.524518969486074,19.836129373675888,0
shinL,8.883691164704533,8.515024245026497,8.515024245026497,17.99854129918317,0
shinR,7.642167667324288,8.396778326352342,8.396778326352342,16.0925520315635,0
footL,5.607840243833805,5.506389528316442,5.477160488892828,8.80729560922052,1
footR,10.460713743646142,11.923857171795627,19.793220431801103,34.13872934726962,1
