cam,subject,motion,matched,bone,win_s,err_raw,err_cal
PG1,5,sitting_down,1,chest,1.1,-9.58148316004251,-3.0420145599212716
PG1,5,sitting_down,1,thighL,1.1,14.047900139412599,4.3753620573899425
PG1,5,sitting_down,1,thighR,1.1,-49.717311477551114,10.099432971864513
PG1,5,sitting_down,1,shinL,1.1,28.629209169252633,14.704282694375632
PG1,5,sitting_down,1,shinR,1.1,-71.13537649173512,6.003294206034887
PG1,5,cross_legged_sitting,1,hip,4.5,13.149921047683883,12.81474095062882
PG1,5,cross_legged_sitting,1,chest,4.5,-2.053989859154989,4.25058423331741
PG1,5,cross_legged_sitting,1,thighL,4.5,52.860905438250064,-3.935429715667602
PG1,5,cross_legged_sitting,1,thighR,4.5,116.93423200730993,116.93423200730993
PG1,5,cross_legged_sitting,1,shinL,4.5,99.66450066362222,33.5845521718023
PG1,5,cross_legged_sitting,1,shinR,4.5,53.85472801558388,53.85472801558388
PG1,5,phone_talking,1,hip,2.4,2.6309976295863082,5.195790752494304
PG1,5,phone_talking,1,chest,2.4,3.407024987268783,5.280763996539908
PG1,5,phone_talking,1,thighR,2.4,106.6699620980861,106.6699620980861
PG1,5,phone_talking,1,shinR,2.4,117.56777518477439,117.56777518477439
PG1,5,crossarms,1,hip,2.0,-4.211553488085581,0.3789025246855068
PG1,5,crossarms,1,chest,2.0,-2.394866413286398,1.0856537388118312
PG2,1,sitting_down,0,,,,
PG2,1,cross_legged_sitting,0,,,,
PG2,1,phone_talking,1,hip,1.9,40.84318075939561,9.009182821848736
PG2,1,phone_talking,1,chest,1.9,34.390544332336376,25.548000515659506
PG2,1,checking_watch,1,hip,2.1,-18.38382376539573,0.7854964012277913
PG2,1,checking_watch,1,chest,2.1,-24.687211750060982,0.6047440852138215
PG2,1,taking_photo,1,hip,1.5,-28.831583853216934,6.364156294996708
PG2,1,taking_photo,1,chest,1.5,-48.73615426072277,5.634395091683642
PG2,1,scratching_head,0,,,,
PG2,1,crossarms,1,hip,0.5,-1.7744079944995148,11.57885710217064
PG2,1,crossarms,1,chest,0.5,-10.358730927279021,25.838925976777293
PG2,2,sitting_down,0,,,,
PG2,2,cross_legged_sitting,0,,,,
PG2,2,checking_watch,0,,,,
PG2,2,scratching_head,1,hip,0.7,67.433356302956,19.490934664084183
PG2,2,scratching_head,1,chest,0.7,-49.79339339806315,13.868911819810636
PG2,2,scratching_head,1,thighR,0.7,39.55187733539667,15.502452014501985
PG2,2,scratching_head,1,shinR,0.7,33.42992373171274,24.12067006369336
PG2,3,sitting_down,0,,,,
PG2,3,cross_legged_sitting,0,,,,
PG2,3,phone_talking,0,,,,
PG2,3,crossarms,1,hip,1.9,-25.256895983465895,1.1212684376235693
PG2,3,crossarms,1,chest,1.9,-44.4998920050573,0.19226366239585949
PG2,4,sitting_down,1,hip,3.0,-37.88942676012153,-17.03248682192929
PG2,4,sitting_down,1,chest,3.0,-46.83019120396916,-47.21765874326687
PG2,4,sitting_down,1,thighL,3.0,1.5480077333855933,-32.47491724978918
PG2,4,sitting_down,1,thighR,3.0,4.137475772016356,-14.28344135669358
PG2,4,sitting_down,1,shinL,3.0,17.288809586411222,-18.677844431110632
PG2,4,sitting_down,1,shinR,3.0,-1.7120329357337818,-20.802833699715528
PG2,4,cross_legged_sitting,0,,,,
PG2,4,phone_talking,0,,,,
PG2,5,sitting_down,0,,,,
PG2,5,cross_legged_sitting,0,,,,
PG2,5,phone_talking,1,hip,1.3,7.926373866409099,8.715663148544772
PG2,5,phone_talking,1,chest,1.3,-48.633706381997975,2.452421970171343
PG2,5,crossarms,1,hip,0.9,-26.030900953252928,2.5480876152713186
PG2,5,crossarms,1,chest,0.9,-9.250452006391786,2.5400397554511454
