cam,subject,motion,matched,bone,mode,win_s,err_raw,err_cal,dev_prior
PG1,1,sitting_down,1,hip,none,1.0,-6.6217534681303025,-27.022176323294175,
PG1,1,sitting_down,1,chest,none,1.0,-14.407351722857362,-34.67243227433681,
PG1,1,sitting_down,1,thighL,none,1.0,125.0179159430603,125.0179159430603,
PG1,1,sitting_down,1,shinL,none,1.0,140.03120249021265,140.03120249021265,
PG1,1,sitting_down,1,hip,imu1,1.0,-3.122159233267984,-23.522582088431857,25.53193294612662
PG1,1,sitting_down,1,chest,imu1,1.0,-13.03842602896105,-33.303506580440505,33.478329062257764
PG1,1,sitting_down,1,thighL,imu1,1.0,42.04499168737132,42.04499168737132,41.48209508403479
PG1,1,sitting_down,1,shinL,imu1,1.0,57.05827823452369,57.05827823452369,57.084902021841614
PG1,1,sitting_down,1,hip,imu3,1.0,-3.122159233267984,-23.522582088431857,20.374998397775176
PG1,1,sitting_down,1,chest,imu3,1.0,-13.03842602896105,-33.303506580440505,32.10074452172239
PG1,1,sitting_down,1,thighL,imu3,1.0,42.04499168737132,42.04499168737132,39.39870746538346
PG1,1,sitting_down,1,shinL,imu3,1.0,57.05827823452369,57.05827823452369,59.1733241058939
PG1,1,sitting_down,1,hip,imu5,1.0,-3.122159233267984,-23.522582088431857,23.97835957292223
PG1,1,sitting_down,1,chest,imu5,1.0,-13.03842602896105,-33.303506580440505,28.082566417614593
PG1,1,sitting_down,1,thighL,imu5,1.0,42.04499168737132,42.04499168737132,43.626409448961965
PG1,1,sitting_down,1,shinL,imu5,1.0,57.05827823452369,57.05827823452369,58.400970048471294
PG1,1,sitting_down,1,hip,none,1.5,-3.5813292363015434,-23.981752091465417,
PG1,1,sitting_down,1,chest,none,1.5,-4.723504800335747,-24.9885853518152,
PG1,1,sitting_down,1,thighL,none,1.5,121.32310286294096,121.32310286294096,
PG1,1,sitting_down,1,shinL,none,1.5,125.84648214051171,125.84648214051171,
PG1,1,sitting_down,1,hip,imu1,1.5,0.05222449381512033,-20.34819836134875,20.649958505065086
PG1,1,sitting_down,1,chest,imu1,1.5,-0.17859854417760607,-20.443679095657057,19.96936824532847
PG1,1,sitting_down,1,thighL,imu1,1.5,48.94983834245094,48.94983834245094,48.82794609145027
PG1,1,sitting_down,1,shinL,imu1,1.5,53.473217620021764,53.473217620021764,52.9352839194972
PG1,1,sitting_down,1,hip,imu3,1.5,0.05222449381512033,-20.34819836134875,21.11169688900694
PG1,1,sitting_down,1,chest,imu3,1.5,-0.17859854417760607,-20.443679095657057,22.95005858223328
PG1,1,sitting_down,1,thighL,imu3,1.5,48.94983834245094,48.94983834245094,51.96142636140558
PG1,1,sitting_down,1,shinL,imu3,1.5,53.473217620021764,53.473217620021764,49.03358388768851
PG1,1,sitting_down,1,hip,imu5,1.5,0.05222449381512033,-20.34819836134875,26.56054850370053
PG1,1,sitting_down,1,chest,imu5,1.5,-0.17859854417760607,-20.443679095657057,19.71085471120822
PG1,1,sitting_down,1,thighL,imu5,1.5,48.94983834245094,48.94983834245094,37.5546402534404
PG1,1,sitting_down,1,shinL,imu5,1.5,53.473217620021764,53.473217620021764,60.625262096116145
PG1,1,cross_legged_sitting,1,hip,none,1.9,-33.945448262022154,-16.45595865185485,
PG1,1,cross_legged_sitting,1,chest,none,1.9,-22.920021121916417,-9.75465382095501,
PG1,1,cross_legged_sitting,1,thighL,none,1.9,96.60246809860212,14.848584412480403,
PG1,1,cross_legged_sitting,1,thighR,none,1.9,85.80680789754747,-18.735677229925514,
PG1,1,cross_legged_sitting,1,shinL,none,1.9,130.33902839711823,45.34790620455169,
PG1,1,cross_legged_sitting,1,shinR,none,1.9,64.91480617140472,-33.727700444076554,
PG1,1,cross_legged_sitting,1,hip,imu1,1.9,-23.912651098751375,-13.802772241207466,14.821097499873105
PG1,1,cross_legged_sitting,1,chest,imu1,1.9,-22.920021121916417,-9.75465382095501,9.97630651968321
PG1,1,cross_legged_sitting,1,thighL,imu1,1.9,20.897802163637053,-31.369106493386557,33.103034764435314
PG1,1,cross_legged_sitting,1,thighR,imu1,1.9,46.66488032725432,-2.577070830945441,1.9680286604319444
PG1,1,cross_legged_sitting,1,shinL,imu1,1.9,54.63436246215313,-0.8697847013152158,0.17324070443284037
PG1,1,cross_legged_sitting,1,shinR,imu1,1.9,25.772878601111533,-17.56909404509648,17.407852721738735
PG1,1,cross_legged_sitting,1,hip,imu3,1.9,-23.912651098751375,-13.802772241207466,15.049882738658733
PG1,1,cross_legged_sitting,1,chest,imu3,1.9,-22.920021121916417,-9.75465382095501,12.483236194063716
PG1,1,cross_legged_sitting,1,thighL,imu3,1.9,20.897802163637053,-31.369106493386557,29.90733584590991
PG1,1,cross_legged_sitting,1,thighR,imu3,1.9,46.66488032725432,-2.577070830945441,6.009295951693963
PG1,1,cross_legged_sitting,1,shinL,imu3,1.9,54.63436246215313,-0.8697847013152158,0.3338578966529573
PG1,1,cross_legged_sitting,1,shinR,imu3,1.9,25.772878601111533,-17.56909404509648,16.95691631094317
